question,document
Why does my token count from tiktoken differ from OpenAI’s API number?,bf0403d21b
What hidden tokens does the chat endpoint add for each message?,bf0403d21b
How many extra tokens are added globally for the completion start?,bf0403d21b
Do extra spaces or special characters add more tokens than I expect?,bf0403d21b
"If encode shows 320 tokens, why does the API say 327?",bf0403d21b
How can I set an API key once so I don't have to re-export it in every terminal?,8b2f5e9d04
What's the easiest way to keep my .env file out of Git while still loading it automatically?,8b2f5e9d04
Which tool automatically loads environment variables when I cd into a project directory?,8b2f5e9d04
Can I use a .envrc file with direnv to export my keys for Python scripts?,8b2f5e9d04
Do I need a specific library in Python to read the .env file after it's set up?,8b2f5e9d04
"When I’m adjusting the importance of different fields in MinSearch, what’s the best way to pick the right weight values to start with?",87d4ea4e08
How can I systematically test a set of field‑weight configurations without just guessing blindly?,87d4ea4e08
What metrics should I look at to tell if changing a weight actually makes my search results better?,87d4ea4e08
"Is hit‑rate and precision@k enough for evaluating weight tweaks, or should I also consider other performance measures?",87d4ea4e08
"Do I need to manually experiment with different weight settings and compare them, or are there smarter automated ways to tune them?",87d4ea4e08
What's the best way to clean raw documents before I chunk them for RAG?,649c280e6d
Should I keep section titles and metadata when I split my files?,649c280e6d
Do I need to store the processed files in JSON or can I use another format?,649c280e6d
How can I make sure related sentences stay together when I chunk my content?,649c280e6d
What kind of noise should I remove to improve retrieval accuracy?,649c280e6d
What does a “Failed to hardlink files” notice mean when using uv in Codespaces?,acf8fa5356
Why does uv switch to copying files instead of linking them?,acf8fa5356
How can I silence the warning for the current shell?,acf8fa5356
What’s the permanent command to set uv to always copy?,acf8fa5356
Where’s the official uv guide that explains this behavior?,acf8fa5356
I keep seeing 'dotenv is not recognized' when I run my script; which package do I need to install?,0bed1f48da
What command installs the library that provides the dotenv functionality in Python?,0bed1f48da
How do I fix the missing dotenv module error in my project?,0bed1f48da
Is there a specific pip or uv command to add the python-dotenv package?,0bed1f48da
"After installing it, how should I import and call load_dotenv in my Python code?",0bed1f48da
Can I complete the entire course on my own computer instead of using Codespaces?,aa310de435
What tools do I need to install locally to run the first module?,aa310de435
Is Docker required if I want to work entirely offline?,aa310de435
How should I record and share my local environment setup for reproducibility?,aa310de435
"Do I still need to use Codespaces if I set up Python, uv, and Jupyter myself?",aa310de435
"If I create a file inside a Codespaces session but never push it to GitHub, where does that change live?",610ccb23c0
Will my edits get wiped out if the Codespace disconnects before I commit them?,610ccb23c0
How can I guarantee that work I do in the cloud IDE is saved permanently?,610ccb23c0
What happens to uncommitted code when a Codespace instance is stopped or deleted?,610ccb23c0
Is there a way to recover changes made only in the Codespaces environment after a crash?,610ccb23c0
My WSL2 keeps throwing a memory error even though my PC has enough RAM—how can I bump the allocated memory?,f3dd94f323
Why does WSL2 think it doesn't have enough memory and how do I increase it?,f3dd94f323
"I'm getting a ""model requires more system memory"" message in WSL2; what setting do I need to change?",f3dd94f323
How do I check and adjust the memory limit for WSL2 on Windows?,f3dd94f323
"Can I set a specific amount of RAM for WSL2, and how do I restart it after changing the config?",f3dd94f323
Why does my Codespace hang on the 'Finishing up' step and what can I do to get it working again?,830f3d2018
What should I do when the workspace disappears after I stop a Codespace?,830f3d2018
How can I restart a Codespace that won't connect to GitHub?,830f3d2018
How can I keep my code changes from being lost when I recreate a Codespace?,830f3d2018
Is it better to run the course locally if Codespaces keeps being unreliable?,830f3d2018
Can I swap out OpenAI for another LLM service when following the course?,c6ff9083c0
What alternative providers or tools are recommended if OpenAI isn't available in my region?,c6ff9083c0
"Do I need to modify the code to use a different provider, or just change a few settings?",c6ff9083c0
How does using a locally hosted model or a free API affect the course requirements?,c6ff9083c0
Is a VPN the only way to bypass network blocks for an LLM provider?,c6ff9083c0
Are there curated resources listing these alternatives and setup steps?,c6ff9083c0
"In agentic RAG, what qualifies as a tool or function that the model can actually call?",c296ea5a21
How does the model decide when to trigger a tool versus just giving a direct answer?,c296ea5a21
Are operations like searching documents or querying a database considered the same kind of tool?,c296ea5a21
Why does agentic RAG let the model pick tools while basic RAG keeps retrieval fixed?,c296ea5a21
"Can I create a tool that runs a calculation, or does it have to be an external API call?",c296ea5a21
What free language models actually let me call tools or functions?,0d74a3616f
Can I use DeepSeek R1 or Llama 4 on Groq for free and still get tool‑use support?,0d74a3616f
"Besides Groq, which other providers (like Mistral or Gemini) give me free access to function calling?",0d74a3616f
Do I have to rewrite my code when switching from OpenAI's tool schemas to other providers?,0d74a3616f
Where can I find the official Groq documentation that explains how tool use works?,0d74a3616f
Why does calling client.responses.create() on a non‑OpenAI model throw an AttributeError about missing 'output'?,9e7b3f0c25
What property should I use instead of response.output to get the generated text from a chat‑completions reply?,9e7b3f0c25
How do I extract the actual answer from response.choices[0].message.content in code?,9e7b3f0c25
Do I need to reshape the tools schema when I switch from one provider to another?,9e7b3f0c25
Is it okay to fall back to the older chat.completions API for homework if the provider supports it?,9e7b3f0c25
Why does Azure keep yelling about a missing 'tools[0].function' field when I call my weather function?,b9c7c6bb34
What should the JSON look like for a function that expects a city name?,b9c7c6bb34
Do I need to add any other keys besides 'type' and 'function' in the tool definition?,b9c7c6bb34
Is the 'required' array supposed to contain just 'city' or can I list more parameters?,b9c7c6bb34
"If I’m using a custom function name, does it have to match the name I give it in the JSON?",b9c7c6bb34
Why am I getting a 404 when I try to use toyaikit with Groq?,0224d980b3
How can I replace OpenAIResponsesRunner with the standard chat completions endpoint for non‑OpenAI providers?,0224d980b3
What steps are needed to configure a Groq client inside toyaikit (API key and base URL)?,0224d980b3
"Do I have to pick a specific Anthropic model id, or does the client auto‑select one?",0224d980b3
"Why does Anthropic sometimes raise a 404, and how does it differ from OpenAI's behavior?",0224d980b3
Where do I locate the homework assignment for Module 1?,53f15299b6
Can you share the direct link to the assignment instructions?,53f15299b6
Which GitHub folder contains the 2026 Module 1 materials?,53f15299b6
Is the course platform also a place to submit my homework?,53f15299b6
Are there extra details in the homework doc that aren't in the platform?,53f15299b6
I added a condition to my search but the result comes back empty – what should I check?,83da208a64
Why does my search return no results even though I know data exists?,83da208a64
How do I fix an empty result when applying a condition to my dataset?,83da208a64
My condition never matches any rows; how can I debug this?,83da208a64
"When I try to narrow down my data with a condition, I always get an empty set – why?",83da208a64
Why does OpenRouter give me a 402 error when I call responses.create without a max_output_tokens limit?,cfb07a27d5
How do I fix the 402 error in my homework by adding a max_output_tokens parameter?,cfb07a27d5
"My .env points to OpenRouter, but I still see 402 – what should I double‑check?",cfb07a27d5
"Do I need to set max_output_tokens in rag_helper.py’s llm() method, and what value should I use?",cfb07a27d5
Is using a pinned model like openai/gpt-oss-120b:free better than the generic openrouter/free endpoint?,cfb07a27d5
"When I'm preprocessing the data for the homework, should I fit the index on the original full documents or on the split chunks?",b4300adeb1
Why does the example code show index.fit(chunks) instead of indexing the raw documents?,b4300adeb1
What advantage do I get by searching the vector store on the chunked pieces rather than on the whole texts?,b4300adeb1
How does retrieving only relevant chunks help keep the model's prompt short?,b4300adeb1
"In the RAG pipeline, what does it actually mean to 'point at the chunk index' and how does that affect what gets sent to the model?",b4300adeb1
"If my calculated value isn't exactly the same as any given option, but it's pretty close, which one should I pick?",5e4ca64cb5
"Why does my numeric answer sometimes look different from the choices, even though I think I did everything right?",5e4ca64cb5
How much wiggle room do I have when the number I get is slightly off from the listed options?,5e4ca64cb5
What kinds of things—like filtering steps or dataset versions—can cause tiny discrepancies in results?,5e4ca64cb5
"When my answer ends up far from every option, what should I double‑check or adjust?",5e4ca64cb5
The assignment details look hazy—should I look at the GitHub repo instead of just the platform page?,7d3a2e3505
Where do I find the official Module 1 2026 homework instructions?,7d3a2e3505
My task seems to use a different dataset than the lesson; does that mean I’m misunderstanding the workflow?,7d3a2e3505
"If I’m still stuck, how should I post a question on Slack without attaching a screenshot?",7d3a2e3505
Can you point me to the updated homework page for the 2026 cohort to double‑check the steps?,7d3a2e3505
How can I retrieve token counts for the Module 1 homework when I’m using a provider other than OpenAI?,fe8fed31e6
Where do I find the input or prompt token numbers in the response object of a non‑OpenAI API?,fe8fed31e6
What details should I check in a different model’s response to estimate token usage?,fe8fed31e6
My provider doesn’t expose usage fields—how can I approximate token counts for the assignment?,fe8fed31e6
Can I use my provider’s native tokenizer to count tokens instead of a generic tokenizer?,fe8fed31e6
Why does the auto‑submission tool return a 500 error when it tries to view my GitHub repo URL?,bcdb8740ce
My repository link gets a non‑200 response during grading—how can I make it publicly accessible?,bcdb8740ce
Do I need to drop the .git ending from the repo URL I'm supposed to submit?,bcdb8740ce
What steps should I take if copying the exact repository link still gives a 404 or 500 in an incognito window?,bcdb8740ce
Why does the grader reject my submission when the repo works fine in my regular browser?,bcdb8740ce
"In plain English, what does an embedding actually do?",69430a79a8
Why do we turn words or items into numbers called embeddings?,69430a79a8
How do embeddings capture the idea that some things are similar?,69430a79a8
What's the practical purpose of converting things into embedding vectors?,69430a79a8
Can you give an example of how embeddings work behind the scenes?,69430a79a8
Module 2 Vector Search is showing a warning: 'model made on sentence-transformers v3.0.0 bet' - how do I stop this warning from appearing?,aa3f597424
In the lectures we multiplied vectors with .dot and treated it as cosine similarity; why did we skip explicit normalization?,92cd22cada
Why did the lesson rely on already‑normalized embeddings to use dot product instead of cosine similarity?,92cd22cada
"When using TF‑IDF vectors that aren't normalized, does the homework show the need to apply cosine similarity manually?",92cd22cada
Is the shortcut of using .dot only valid because the models already scale vectors to unit length?,92cd22cada
How does the homework illustrate the difference between dot‑product similarity and true cosine similarity with unscaled vectors?,92cd22cada
"For semantic retrieval, should I index just the user query or also the answer text?",5c4a8d2e60
Does embedding the full question‑answer string usually beat embedding only the question?,5c4a8d2e60
What’s the impact of longer input vectors on cost and performance when I combine question and answer before embedding?,5c4a8d2e60
How can I test which embedding method gives the highest hit rate or MRR on my dataset?,5c4a8d2e60
"When building a vector store, is it enough to store only answer embeddings, or do I need question embeddings too?",5c4a8d2e60
How does cosine similarity actually work when we want to check how close two text documents are to each other?,db78580409
What range of scores can cosine similarity produce and what do those scores signify?,db78580409
Why do we usually pick cosine similarity instead of other ways to compare vectors?,db78580409
Is cosine similarity something we can calculate between two vectors that are made from word counts?,db78580409
"If the cosine similarity between two vectors comes out to 0.9, what does that tell us about their relationship?",db78580409
Why does cosine similarity turn into a plain matrix multiplication when all vectors are normalized?,95feb4e75b
"If every embedding is a unit vector, does cosine similarity just become a dot product with the query?",95feb4e75b
How does normalizing vectors let us replace cosine similarity with a simple matrix‑multiply operation?,95feb4e75b
What’s the intuition behind converting cosine similarity into a matrix multiplication across embeddings?,95feb4e75b
Why can we compute cosine similarity with a matrix product once all vectors are unit length?,95feb4e75b
Should I just open a fresh codespace instead of setting up a whole new GitHub repository for Module 2?,1e829a8c6f
Can I reuse my existing repo and just spin up a separate codespace for the vector‑search dependencies?,1e829a8c6f
"Do I need an entirely new repo, or will a dedicated codespace be enough to keep heavy deps isolated?",1e829a8c6f
"Is creating a separate codespace the recommended way to work on module 2, especially with its heavier libraries?",1e829a8c6f
What happens to my code if I stop the codespace without committing – will it disappear from my repo?,1e829a8c6f
I'm stuck at 0% when my script tries to fetch model.onnx from HuggingFace — what's going on?,29b69fbe0b
Why does the download script never move past the first percent when pulling the ONNX file?,29b69fbe0b
My download.py freezes at 0% on HuggingFace; how can I get the model file manually?,29b69fbe0b
Can I bypass the script and download the ONNX model directly from the HuggingFace page?,29b69fbe0b
"Why does the code skip the download if the file already exists, and how does that affect a hanging download?",29b69fbe0b
Why do the matrix (dot) and loop versions of vector search produce slightly different scores?,e889793af9
I noticed that X.dot(v_query) and the explicit for‑loop give different results—what's causing the discrepancy?,e889793af9
Does the order of summing in a fast BLAS call affect the final similarity scores?,e889793af9
Why does comparing the two score arrays with np.allclose sometimes return False?,e889793af9
"If the math is identical, why do I get different floating-point values when I compute the same dot products?",e889793af9
My Module 2 homework cosine similarity isn't matching any answer choices—what's the issue?,eaa17a9dc6
Should I be using the Embedder from embedder.py instead of sentence-transformers for the similarity calculation?,eaa17a9dc6
Do I need to embed just the page content and compare it to the query vector from Question 1?,eaa17a9dc6
Why am I getting a slightly different cosine value even after using the correct model?,eaa17a9dc6
Is it okay to pick the closest option if my similarity score is off due to minor numerical differences?,eaa17a9dc6
What naming convention should I use when exporting my API keys for Kestra?,3860e5fe8b
How can I convert my Gemini key into the base64 format that flows expect?,3860e5fe8b
Is there a way to reference a secret inside a flow without the SECRET_ prefix?,3860e5fe8b
Do I need to restart Docker compose after adding my secret environment variables?,3860e5fe8b
Where can I find a step‑by‑step example of setting these secret variables?,3860e5fe8b
"Why does the Kestra AI Copilot reply ""I can only assist with creating Kestra flows""?",04440cab11
I exported GEMINI_API_KEY but still get that refusal – what am I doing wrong?,04440cab11
How should I provide the Gemini API key so the Copilot works without base64 encoding?,04440cab11
What do I check if the Copilot keeps falling back to a canned response after I start Kestra?,04440cab11
"Is the Copilot functional in the Open Source edition, or do I need a different key setup?",04440cab11
Why does my Kestra flow still report an invalid or missing Gemini API key after I set SECRET_GEMINI_API_KEY?,c8ca21af33
"My base64 string looks correct, but Kestra says the secret is missing—could hidden spaces or newlines be the cause?",c8ca21af33
"Do I need to restart Kestra after exporting the key, and what’s the exact command to make the new variables take effect?",c8ca21af33
"When referencing the secret in a flow, why do I omit the SECRET_ prefix and how should I syntax the call?",c8ca21af33
Is using a .env file with docker compose the preferred method for passing environment variables into Kestra?,c8ca21af33
Can I just stick with Jupyter notebooks for my AI work instead of learning about workflow orchestration?,193612db63
What benefits does a tool like Kestra provide for real‑world AI pipelines compared to running a script once?,193612db63
"Why are features such as scheduling, retries, monitoring, and secret management important for production AI?",193612db63
Can I describe a workflow in plain language and have it automatically use different AI providers behind the scenes?,193612db63
"Why does the course use an orchestrator to illustrate AI Copilot, RAG, and agent concepts rather than plain notebook code?",193612db63
Why does my LLM call raise a JSONDecodeError saying 'Expecting value' when I try to parse its output?,a3c7e1b4f9
How can I make the model output clean JSON without any markdown fences or extra explanatory text?,a3c7e1b4f9
"What does the OpenAI parameter response_format={""type"": ""json_object""} actually change in the request?",a3c7e1b4f9
Do other services like Gemini or Groq offer a similar way to enforce JSON‑only responses?,a3c7e1b4f9
"Should I explicitly tell the prompt to output only a JSON object with a key called ""questions"" that holds a list of five strings?",a3c7e1b4f9
Why does my Jupyter kernel crash when I try to embed the ground‑truth set?,b8f2d6a30c
Can I swap to a smaller embedding model without losing my evaluation scores?,b8f2d6a30c
Is there a way to generate embeddings offline and just load the vectors into the notebook?,b8f2d6a30c
"Do I need a bigger Codespace machine, or can I process the data in batches to avoid out‑of‑memory errors?",b8f2d6a30c
What’s the best way to free memory after each batch of embedding computations?,b8f2d6a30c
"When my tqdm progress bar runs forever, how can I stop myself from exhausting the daily request quota?",c1e9f4b820
"If I switch to GPT‑4o‑mini for generating the full ground‑truth set, what kind of cost should I expect?",c1e9f4b820
Can I shrink the thread‑pool worker count just enough to stay under the per‑minute cap without killing performance?,c1e9f4b820
Is there a simple way to periodically dump partial outputs so I can resume after hitting a limit?,c1e9f4b820
How does using Groq’s free llama‑3.3‑70b‑versatile compare to paying for OpenAI in terms of request‑per‑minute headroom?,c1e9f4b820
Why does PyTorch fail to load fbgemm.dll on Windows?,15e931476c
What does WinError 126 indicate when importing PyTorch?,15e931476c
How can I resolve the missing fbgemm.dll issue for PyTorch?,15e931476c
Is Visual Studio required instead of VS Code for PyTorch installation?,15e931476c
Where can I find more details about this PyTorch DLL error?,15e931476c
I get an OperationalError: could not translate host name 'postgres' while running python prep.py – why does this happen?,4b65d5542d
How can I fix the psycopg2 OperationalError that says host name 'postgres' is unknown?,4b65d5542d
When I run prep.py I see 'could not translate host name postgres' – what’s actually wrong with my setup?,4b65d5542d
Why should I change POSTGRES_HOST to localhost in the .env file to stop the error?,4b65d5542d
Is updating the .env variable the proper way to resolve the OperationalError I’m seeing?,4b65d5542d
What option lets me see the full Explanation column in the evaluation notebook?,641aedbbf5
How can I stop pandas from cutting off text in a column after 50 characters?,641aedbbf5
Is there a way to remove the placeholder that shows up when a column overflows?,641aedbbf5
What command makes pandas output every character of the Explanation field?,641aedbbf5
Can I set pandas to ignore the default width limit and print the entire content?,641aedbbf5
How can I scale an entire pandas column of vectors so each ends up with unit length?,5039707c1a
Is there a pandas‑friendly way to divide each element by its Euclidean norm?,5039707c1a
Can I replace a Series with its normalized values without leaving the DataFrame?,5039707c1a
What should I do when a zero‑norm row appears during normalization?,5039707c1a
Is there a built‑in method that automatically normalizes each row of a DataFrame?,5039707c1a
How can I obtain the 75th percentile (0.75 quantile) of a column in Pandas?,b4c8ac5a0c
What syntax lets me compute a specific quantile for a pandas Series?,b4c8ac5a0c
"Is there a one‑liner to fetch several percentiles like 25%, 50%, 75% at once?",b4c8ac5a0c
"Can I specify custom quantile values (e.g., 0.9) when using df[col].quantile?",b4c8ac5a0c
How does pandas' quantile method compare to numpy.percentile for the same data?,b4c8ac5a0c
How can I force‑delete every container that’s currently running?,66ccbb7da0
What one‑liner removes all image layers I've stored?,66ccbb7da0
Is there a command to wipe out every named volume at once?,66ccbb7da0
Can I purge all build artifacts created by Docker with a single call?,66ccbb7da0
What steps let me completely reset my local container environment from the terminal?,66ccbb7da0
Why does the submitted flag flip back to False after I press a feedback button?,2e729f1271
How can I lock the buttons so they stay disabled once the submission is done?,2e729f1271
What's causing st.session.submitted to get reassigned even after one click?,2e729f1271
Is there a trick to keep the feedback disabled until the form really submits?,2e729f1271
Why does the UI reset after clicking a +1 or -1 button?,2e729f1271
Why does my Streamlit container throw “executable file not found” when I try to run it with docker-compose?,e8df9f0d12
"I can start Streamlit on my laptop, but inside Docker Compose it says the command isn’t in $PATH—how do I fix that?",e8df9f0d12
